#
# DESCRIPTION: NuSTAR count rates for Sgr A* during the EHT campaign on 2017 April 6 and 7. For
#  details of the data processing and analysis methods, please see the documentation in this online data
#  repository and the associated publication: The EHT Collaboration et al. (2022b; ApJL, 930, L13).
#
# NOTE: Time bins are 100 s wide.
#
# COLUMNS: time (MJD), count rate (counts/s), upper limit (counts/s), lower limit (counts/s)
#
57849.4339,0.70149348,0.86687837,0.56377316
57849.4351,0.72240223,0.89511073,0.58723909
57849.4362,0.70063256,0.86866111,0.56493257
57849.4374,0.59419934,0.75486507,0.47119108
57849.4385,2.16801540,2.65439150,1.78263540
57849.4698,0.64181525,0.79865966,0.51461049
57849.4709,0.57372143,0.71423338,0.44582855
57849.4721,0.43267960,0.57198538,0.33231875
57849.4733,0.71075687,0.88351765,0.58442669
57849.4744,0.77259614,0.93949635,0.63094666
57849.4756,0.69120782,0.85575272,0.56141819
57849.4767,0.41268959,0.54273460,0.30953977
57849.4779,0.58609779,0.74354628,0.46940477
57849.4791,0.64628348,0.80239954,0.51702025
57849.4802,0.69745015,0.85675099,0.56207311
57849.4814,0.79900649,0.96901681,0.65534056
57849.4825,0.66529073,0.82825605,0.53865519
57849.4837,0.48766103,0.63034735,0.37824455
57849.4848,0.64498833,0.80258773,0.51714151
57849.4860,0.59775925,0.75135846,0.47433664
57849.4872,0.65308538,0.81265005,0.52362509
57849.4883,0.57750896,0.72718528,0.45391320
57849.4895,0.68367423,0.84413366,0.54898117
57849.4906,0.73752472,0.90154612,0.59635211
57849.4918,0.50202468,0.64703445,0.38825777
57849.4929,0.71394480,0.88221986,0.57878201
57849.4941,0.69075258,0.85795906,0.55797250
57849.4953,0.56306784,0.71459016,0.44066251
57849.5057,0.89644978,1.09523690,0.68365311
57849.5369,0.54163377,0.68544868,0.42269199
57849.5381,0.85103791,1.02268820,0.70067395
57849.5392,0.66850628,0.82727293,0.53801582
57849.5404,0.79495674,0.96737421,0.65422967
57849.5416,0.59082829,0.74267278,0.46885333
57849.5427,0.60954792,0.77168498,0.49233922
57849.5439,0.80164393,0.96899033,0.65532264
57849.5450,0.46475125,0.60093283,0.35507254
57849.5462,0.43682098,0.57199798,0.33232607
57849.5473,0.69113726,0.85565921,0.56135685
57849.5485,0.87921190,1.05243070,0.72541682
57849.5497,0.79186878,0.96865167,0.65509361
57849.5508,0.49087196,0.63265853,0.37963139
57849.5520,0.46438524,0.60405614,0.35691801
57849.5531,0.79696962,0.97741305,0.66101889
57849.5543,0.64900193,0.80758525,0.52036162
57849.5554,0.62194923,0.78035531,0.49787094
57849.5566,0.63038332,0.78215121,0.49901673
57849.5578,0.83614063,1.01165760,0.68874283
57849.5589,0.60628347,0.76371163,0.48213527
57849.5601,0.42184299,0.56016125,0.31947877
57849.5612,0.77028307,0.94562186,0.63039556
57849.5624,0.61254208,0.77157864,0.48710175
57849.5635,0.71721793,0.89074930,0.58437776
57849.5647,0.95961878,1.15341700,0.80403797
57849.5659,0.56655232,0.71903794,0.44340531
57849.6041,0.80326011,0.96640252,0.65357252
57849.6052,0.51163831,0.65732961,0.40007302
57849.6064,0.76995963,0.93947337,0.63093123
57849.6075,0.84903957,1.02336890,0.70114038
57849.6087,0.58658127,0.74216535,0.46853299
57849.6098,0.61379257,0.77177937,0.49239944
57849.6110,0.71809840,0.88455329,0.58511175
57849.6122,0.59092095,0.74278877,0.46892655
57849.6133,0.48827419,0.62931232,0.37762347
57849.6145,0.61791217,0.77180657,0.49241679
57849.6156,0.71854929,0.88508257,0.58546185
57849.6168,0.61537863,0.77204627,0.49256972
57849.6179,0.59091574,0.74647434,0.47125328
57849.6191,0.59529005,0.74640410,0.47120893
57849.6203,0.64985331,0.80859101,0.52100968
57849.6214,0.70432853,0.86503357,0.56750691
57849.6226,0.67356469,0.83519306,0.54316667
57849.6237,0.65091816,0.80997198,0.52189949
57849.6249,0.52336599,0.66889116,0.40710977
57849.6260,0.37115507,0.49661917,0.27125843
57849.6272,0.71583207,0.88121728,0.57812427
57849.6284,0.67272282,0.82915518,0.53426005
57849.6295,0.66404674,0.83082107,0.53533346
57849.6307,0.80477958,0.97908087,0.65753083
57849.6318,0.75611369,0.92225534,0.61005079
57849.6330,0.66759643,0.83526806,0.53819884
57849.6341,0.48331427,0.62839006,0.37129616
57849.6353,0.80220477,0.98409778,0.66090008
57849.6365,0.45653349,0.59778482,0.34730801
57849.6376,0.60679261,0.85105741,0.42595120
57849.6712,0.69439160,0.85480801,0.56079841
57849.6723,0.77208685,0.93888560,0.63053650
57849.6735,0.61572465,0.77076949,0.49175513
57849.6747,0.61655350,0.77183177,0.49243287
57849.6758,0.59897944,0.74268588,0.46886160
57849.6770,0.43683393,0.57201785,0.33233762
57849.6781,0.86842073,1.05245680,0.72543477
57849.6793,0.71359673,0.88381179,0.58462126
57849.6804,0.84883531,1.02463620,0.70200863
57849.6816,0.71931475,0.88437520,0.58499394
57849.6828,0.44263355,0.57397032,0.33347198
57849.6839,0.57160463,0.71974408,0.44926836
57849.6851,0.44706944,0.57548852,0.33435405
57849.6862,0.70260638,0.85940384,0.56381351
57849.6874,0.96116555,1.14052200,0.79925434
57849.6885,0.51543119,0.66244070,0.40318381
57849.6897,0.73307216,0.89597418,0.59266641
57849.6909,0.73276427,0.89736840,0.59358865
57849.6920,0.59968716,0.75739694,0.47814877
57849.6932,0.55091861,0.70236107,0.43312127
57849.6943,0.61236566,0.76640165,0.48383349
57849.6955,0.98778633,1.17623990,0.82428465
57849.6966,0.34790525,0.47361991,0.25217803
57849.6978,0.32082785,0.44527206,0.23033705
57849.6990,0.77736293,0.95259451,0.63504385
57849.7001,0.64514068,0.80604320,0.51425995
57849.7013,0.70042009,0.86694478,0.56381635
57849.7024,0.81034510,0.98600531,0.66218114
57849.7036,0.78214916,0.95578959,0.63717384
57849.7047,0.75688912,0.93048636,0.61549542
57849.7059,0.52190518,0.67586444,0.40555741
57849.7071,1.17643080,1.46223270,0.95930055
57849.7383,0.56534256,0.71377809,0.44554435
57849.7395,0.66933737,0.82671148,0.53765068
57849.7406,0.66981912,0.82731268,0.53804167
57849.7418,0.43942216,0.57210775,0.33238985
57849.7429,0.79592838,0.96698879,0.65396901
57849.7441,0.77581677,0.94007693,0.63133657
57849.7453,0.46158645,0.60218707,0.35581363
57849.7464,0.64380259,0.79947042,0.51513289
57849.7476,0.81944132,0.99635002,0.67832132
57849.7487,0.69396727,0.85589547,0.56151184
57849.7499,0.51763661,0.65822217,0.40061626
57849.7510,0.61949993,0.77212093,0.49261736
57849.7522,0.70146913,0.85975001,0.56404062
57849.7534,0.57329408,0.71981141,0.44931039
57849.7545,0.73168483,0.89405153,0.59139461
57849.7557,0.70355207,0.86768218,0.56924454
57849.7568,0.73215458,0.89311936,0.59077801
57849.7580,0.44628615,0.57881171,0.33628479
57849.7591,0.62841093,0.78329956,0.49974938
57849.7603,0.68915020,0.84620276,0.55032681
57849.7615,0.71636997,0.88200079,0.57863829
57849.7626,0.74349092,0.91238982,0.60352497
57849.7638,0.45587967,0.59370331,0.34493669
57849.7649,0.69567467,0.86249382,0.56092168
57849.7661,0.66947430,0.83453900,0.53772907
57849.7672,0.85862529,1.03905610,0.70739587
57849.7684,0.61782309,0.77936977,0.49202034
57849.7696,0.51141345,0.65769543,0.39465496
57849.7707,0.45756244,0.59910925,0.34807749
57849.7719,0.81254593,0.98553859,0.66186770
57849.7730,0.32746231,0.45231431,0.23397998
57849.7742,0.87736320,1.16887040,0.65314620
57849.8054,0.51270313,0.65704601,0.39990041
57849.8066,0.64593556,0.79896608,0.51480793
57849.8078,0.43619361,0.57117063,0.33184539
57849.8089,0.54137483,0.68523606,0.42256088
57849.8101,0.45908060,0.60037029,0.35474015
57849.8112,0.43440325,0.57235957,0.33253616
57849.8124,0.64446105,0.80021359,0.51561175
57849.8135,0.53551562,0.68613130,0.42311294
57849.8147,0.59377721,0.74302590,0.46907626
57849.8159,0.56850188,0.71607491,0.44697804
57849.8170,0.59012722,0.74345195,0.46934522
57849.8182,0.72496624,0.88466187,0.58518357
57849.8193,0.41307963,0.54488787,0.31076785
57849.8205,0.62123294,0.77581252,0.49497261
57849.8216,0.54784288,0.69465527,0.42836937
57849.8228,0.75057916,0.92194304,0.61461016
57849.8240,0.70098249,0.86632185,0.56835209
57849.8251,0.39225364,0.51973733,0.29042096
57849.8263,0.49808604,0.64019203,0.38415193
57849.8274,0.63668532,0.79534587,0.50743499
57849.8286,0.55681160,0.70806581,0.43663918
57849.8297,0.52834036,0.68043258,0.41413427
57849.8309,0.90661598,1.09343840,0.75368249
57849.8321,0.55944208,0.71444076,0.44057039
57849.8332,0.58954902,0.74445051,0.46469026
57849.8344,0.66938341,0.83693591,0.53927350
57849.8355,0.72941731,0.89537186,0.58741041
57849.8367,0.78403106,0.95391771,0.63592596
57849.8378,0.59250868,0.74827176,0.46707550
